
Forward rising curve:

 PWM, RPM
 0, 0.00
 17, 0.00
 34, 0.00
 51, 0.00
 68, 0.00
 85, 3.00
 102, 5.00
 119, 7.00
 136, 9.00
 153, 11.00
 170, 12.00
 187, 15.00
 204, 16.00
 221, 18.00
 238, 20.00
 255, 23.00


 falling curve:

 PWM, RPM
 255, 22.00
 238, 21.00
 221, 19.00
 204, 17.00
 187, 15.00
 170, 13.00
 153, 11.00
 136, 9.00
 119, 8.00
 102, 6.00
 85, 4.00
 68, 3.00
 51, 0.00
 34, 0.00
 17, 0.00
 0, 0.00


Backward rising curve:

 PWM, RPM
 0, 0.00
 17, 0.00
 34, 0.00
 51, 0.00
 68, 0.00
 85, 3.00
 102, 5.00
 119, 7.00
 136, 9.00
 153, 11.00
 170, 12.00
 187, 15.00
 204, 16.00
 221, 19.00
 238, 21.00
 255, 23.00


 falling curve:

 PWM, RPM
 255, 22.00
 238, 21.00
 221, 19.00
 204, 17.00
 187, 15.00
 170, 13.00
 153, 11.00
 136, 9.00
 119, 8.00
 102, 6.00
 85, 4.00
 68, 2.00
 51, 0.00
 34, 0.00
 17, 0.00
 0, 0.00
